index,timeAsCustomer,driverAge,insuranceAccess,insurancePremium,driverGender,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
1,328,48,1000,1407,0.0,MD,Single Vehicle Collision,Major Damage,Police,5,1,1,1,71610,1,11,28,Full
2,228,42,2000,1197,0.0,MD,Vehicle Theft,Minor Damage,Police,8,1,0,0,5070,1,8,21,Full
3,134,29,2000,1413,1.0,PhD,Multi-vehicle Collision,Minor Damage,Police,7,3,2,0,34650,0,8,13,Full
4,256,41,2000,1416,1.0,PhD,Single Vehicle Collision,Major Damage,Police,5,1,1,0,63400,1,1,22,Full
5,228,44,1000,1584,0.0,Associate,Vehicle Theft,Minor Damage,None,20,1,0,0,6500,0,6,25,Full
6,256,39,1000,1351,1.0,PhD,Multi-vehicle Collision,Major Damage,Fire,19,3,0,0,64100,1,12,20,Full
7,137,34,1000,1333,0.0,PhD,Multi-vehicle Collision,Minor Damage,Police,0,3,0,0,78650,0,3,17,Full
8,165,37,1000,1137,0.0,Associate,Multi-vehicle Collision,Total Loss,Police,23,3,2,1,51590,0,0,18,Full
9,27,33,500,1443,1.0,PhD,Single Vehicle Collision,Total Loss,Police,21,1,1,1,27700,0,3,12,Full
10,212,42,500,1316,0.0,PhD,Single Vehicle Collision,Total Loss,Other,14,1,2,0,42300,0,19,24,Full
11,235,42,500,1253,1.0,Masters,Single Vehicle Collision,Total Loss,Police,22,1,2,0,87010,0,13,22,Full
12,447,61,2000,1137,1.0,High School,Multi-vehicle Collision,Major Damage,Fire,21,3,1,1,114920,0,9,39,Full
13,60,23,500,1215,0.0,MD,Single Vehicle Collision,Total Loss,Ambulance,9,1,1,0,56520,0,15,7,Full
14,121,34,1000,937,1.0,MD,Parked Car,Minor Damage,None,5,1,1,0,7280,0,5,18,Full
15,180,38,2000,1301,1.0,College,Single Vehicle Collision,Total Loss,Police,12,1,0,1,46200,1,12,18,Full
16,473,58,2000,1131,1.0,MD,Multi-vehicle Collision,Major Damage,Other,12,4,0,0,63120,1,16,40,Full
17,70,26,1000,1199,0.0,College,Multi-vehicle Collision,Major Damage,Other,0,3,1,1,52110,0,3,9,Full
18,140,31,500,709,0.0,High School,Single Vehicle Collision,Total Loss,Police,9,1,0,1,77880,0,0,9,Full
19,160,37,500,1374,1.0,MD,Single Vehicle Collision,Total Loss,Other,19,1,1,0,72930,0,0,15,Full
20,196,39,2000,1476,1.0,High School,Multi-vehicle Collision,Major Damage,Police,8,3,2,0,60400,0,1,23,Full
21,460,62,1000,1188,0.0,JD,Multi-vehicle Collision,Minor Damage,Police,20,3,1,0,47160,0,4,45,Full
22,217,41,2000,875,1.0,Associate,Multi-vehicle Collision,Total Loss,Police,15,3,1,0,37840,0,19,20,Full
